Wine,Year,URL
Cabernet Franc,2011,https://burrowingowlwine.ca/wp-content/uploads/2024/07/2011-Cabernet-Franc-LR.pdf
Cabernet Franc,2012,https://burrowingowlwine.ca/wp-content/uploads/2024/07/2012-Cabernet-Franc-LR.pdf
Cabernet Franc,2013,https://burrowingowlwine.ca/wp-content/uploads/2024/07/2013-Cabernet-Franc-HR.pdf
Cabernet Franc,2014,https://burrowingowlwine.ca/wp-content/uploads/2024/07/2014-Cabernet-Franc-HR.pdf
Cabernet Franc,2015,https://burrowingowlwine.ca/wp-content/uploads/2024/07/2015-Cabernet-Franc-HR.pdf
Cabernet Franc,2016,https://burrowingowlwine.ca/wp-content/uploads/2024/07/2016-Cabernet-Franc-HR.pdf
Cabernet Franc,2017,https://burrowingowlwine.ca/wp-content/uploads/2024/07/2017-Cabernet-Franc-HR.pdf
Cabernet Franc,2018,https://burrowingowlwine.ca/wp-content/uploads/2024/07/2018-Cabernet-Franc-HR.pdf
Cabernet Franc,2019,https://burrowingowlwine.ca/wp-content/uploads/2021/10/2019-Cabernet-Franc-HR.pdf
Cabernet Franc,2020,https://burrowingowlwine.ca/wp-content/uploads/2022/10/2020-Cabernet-Franc-HR.pdf
Cabernet Franc,2021,https://burrowingowlwine.ca/wp-content/uploads/2023/10/2021-Cabernet-Franc-HR.pdf
Cabernet Franc,2022,https://www.burrowingowlwine.ca/wp-content/uploads/2024/12/2022-Cabernet-Franc-HR.pdf
Cabernet Sauvignon,2007,https://burrowingowlwine.ca/wp-content/uploads/2024/07/2007-Cabernet-Sauvignon.pdf
Cabernet Sauvignon,2010,https://burrowingowlwine.ca/wp-content/uploads/2024/07/2010-Cabernet-Sauvignon-HR.pdf
Cabernet Sauvignon,2011,https://burrowingowlwine.ca/wp-content/uploads/2024/07/2011-Cabernet-Sauvignon-HR.pdf
Cabernet Sauvignon,2012,https://burrowingowlwine.ca/wp-content/uploads/2024/07/2012-Cabernet-Sauvignon-HR.pdf
Cabernet Sauvignon,2013,https://burrowingowlwine.ca/wp-content/uploads/2024/07/2013-Cabernet-Sauvignon-HR.pdf
Cabernet Sauvignon,2014,https://burrowingowlwine.ca/wp-content/uploads/2024/07/2014-Cabernet-Sauvignon-HR.pdf
Cabernet Sauvignon,2015,https://burrowingowlwine.ca/wp-content/uploads/2024/07/2015-Cabernet-Sauvignon-HR.pdf
Cabernet Sauvignon,2016,https://burrowingowlwine.ca/wp-content/uploads/2024/07/2016-Cabernet-Sauvignon-HR.pdf
Cabernet Sauvignon,2017,https://burrowingowlwine.ca/wp-content/uploads/2024/07/2017-Cabernet-Sauvignon-HR.pdf
Cabernet Sauvignon,2018,https://burrowingowlwine.ca/wp-content/uploads/2020/10/2018-Cabernet-Sauvignon-LR.pdf
Cabernet Sauvignon,2019,https://burrowingowlwine.ca/wp-content/uploads/2021/11/2019-Cabernet-Sauvignon-HR.pdf
Cabernet Sauvignon,2020,https://burrowingowlwine.ca/wp-content/uploads/2022/10/2020-Cabernet-Sauvignon-HR.pdf
Cabernet Sauvignon,2021,https://burrowingowlwine.ca/wp-content/uploads/2023/10/2021-Cabernet-Sauvignon-HR.pdf
Cabernet Sauvignon,2022,https://www.burrowingowlwine.ca/wp-content/uploads/2024/12/2022-Cabernet-Sauvignon-HR-2.pdf
Chardonnay,2008,https://burrowingowlwine.ca/wp-content/uploads/2024/07/2008-Chardonnay.pdf
Chardonnay,2009,https://www.burrowingowlwine.ca/wp-content/uploads/2025/01/2009-Chardonnay-HR.pdf
Chardonnay,2010,https://burrowingowlwine.ca/wp-content/uploads/2024/07/2010-Chardonnay-HR.pdf
Chardonnay,2011,https://burrowingowlwine.ca/wp-content/uploads/2024/07/2011-Chardonnay-HR.pdf
Chardonnay,2012,https://burrowingowlwine.ca/wp-content/uploads/2024/07/2012-Chardonnay-HR.pdf
Chardonnay,2013,https://burrowingowlwine.ca/wp-content/uploads/2024/07/2013-Chardonnay-HR.pdf
Chardonnay,2014,https://burrowingowlwine.ca/wp-content/uploads/2015/10/2014_BOV_1895_Chardonnay2014_Sales_LR.pdf
Chardonnay,2015,https://burrowingowlwine.ca/wp-content/uploads/2024/07/2015-Chardonnay-HR.pdf
Chardonnay,2016,https://burrowingowlwine.ca/wp-content/uploads/2024/07/2016-Chardonnay-HR-1.pdf
Chardonnay,2017,https://burrowingowlwine.ca/wp-content/uploads/2019/09/BOEW56_Chardonnay2017_Sales_LR.pdf
Chardonnay,2018,https://burrowingowlwine.ca/wp-content/uploads/2020/09/2018-Chardonnay-LR.pdf
Chardonnay,2019,https://burrowingowlwine.ca/wp-content/uploads/2021/03/2019-Chardonnay-LR.pdf
Chardonnay,2020,https://burrowingowlwine.ca/wp-content/uploads/2022/07/2020-Chardonnay-HR.pdf
Chardonnay,2021,https://burrowingowlwine.ca/wp-content/uploads/2022/10/2021-Chardonnay-HR.pdf
Chardonnay,2022,https://www.burrowingowlwine.ca/wp-content/uploads/2024/12/2022-Chardonnay-HR.pdf
Coruja,NV,https://burrowingowlwine.ca/wp-content/uploads/2013/03/NV-1259_BOV_Coruja_fact-sheet_HR.pdf
Malbec,2011,https://burrowingowlwine.ca/wp-content/uploads/2014/09/2011-Malbec_Sales_HR.pdf
Malbec,2012,https://burrowingowlwine.ca/wp-content/uploads/2024/07/2012-Malbec-HR.pdf
Malbec,2013,https://burrowingowlwine.ca/wp-content/uploads/2024/07/2013-Malbec-HR.pdf
Malbec,2014,https://burrowingowlwine.ca/wp-content/uploads/2024/07/2014-Malbec-HR.pdf
Malbec,2015,https://burrowingowlwine.ca/wp-content/uploads/2018/11/BOV_2178_2015Malbec_Sales_V2_HR.pdf
Malbec,2016,https://www.burrowingowlwine.ca/wp-content/uploads/2025/01/2016-Malbec-HR.pdf
Malbec,2017,https://burrowingowlwine.ca/wp-content/uploads/2021/01/2017-Malbec-LR.pdf
Malbec,2018,https://burrowingowlwine.ca/wp-content/uploads/2021/07/2018-Malbec-LR.pdf
Malbec,2019,https://burrowingowlwine.ca/wp-content/uploads/2022/11/2019-Malbec-HR.pdf
Malbec,2020,https://burrowingowlwine.ca/wp-content/uploads/2023/08/2020-Malbec-HR.pdf
Malbec,2021,https://www.burrowingowlwine.ca/wp-content/uploads/2024/12/2021-Malbec-HR.pdf
Meritage,2006,https://www.burrowingowlwine.ca/wp-content/uploads/2025/01/2006-Meritage.pdf
Meritage,2007,https://www.burrowingowlwine.ca/wp-content/uploads/2025/01/2007-Meritage.pdf
Meritage,2008,https://www.burrowingowlwine.ca/wp-content/uploads/2025/01/2008-Meritage.pdf
Meritage,2009,https://www.burrowingowlwine.ca/wp-content/uploads/2025/01/2009-Meritage.pdf
Meritage,2010,https://burrowingowlwine.ca/wp-content/uploads/2014/09/1255_BOV_2010_Meritage_Sales_LR.pdf
Meritage,2011,https://burrowingowlwine.ca/wp-content/uploads/2014/10/Meritage2011_Sales.pdf
Meritage,2012,https://burrowingowlwine.ca/wp-content/uploads/2015/09/Meritage-2012-HR.pdf
Meritage,2013,https://burrowingowlwine.ca/wp-content/uploads/2021/09/2013-Meritage-HR.pdf
Meritage,2014,https://burrowingowlwine.ca/wp-content/uploads/2017/11/2014_Meritage_HR.pdf
Meritage,2015,https://burrowingowlwine.ca/wp-content/uploads/2018/11/BO_002_2015_Meritage_Sales_HR.pdf
Meritage,2016,https://burrowingowlwine.ca/wp-content/uploads/2019/11/BOEW157_Meritage2016_Sales_V1_LR.pdf
Meritage,2017,https://burrowingowlwine.ca/wp-content/uploads/2020/10/2017-Meritage-LR.pdf
Meritage,2018,https://burrowingowlwine.ca/wp-content/uploads/2021/10/2018-Meritage-HR.pdf
Meritage,2019,https://burrowingowlwine.ca/wp-content/uploads/2022/10/2019-Meritage-HR.pdf
Meritage,2020,https://burrowingowlwine.ca/wp-content/uploads/2023/11/2020-Meritage-HR.pdf
Meritage,2021,https://www.burrowingowlwine.ca/wp-content/uploads/2024/12/2021-Meritage-HR.pdf
Merlot,2007,https://burrowingowlwine.ca/wp-content/uploads/2024/07/2007-Merlot.pdf
Merlot,2008,https://burrowingowlwine.ca/wp-content/uploads/2024/07/2008-Merlot.pdf
Merlot,2009,https://burrowingowlwine.ca/wp-content/uploads/2024/07/2009-Merlot.pdf
Merlot,2010,https://burrowingowlwine.ca/wp-content/uploads/2024/07/2010-Merlot-HR.pdf
Merlot,2011,https://burrowingowlwine.ca/wp-content/uploads/2024/07/2011-Merlot-HR.pdf
Merlot,2012,https://burrowingowlwine.ca/wp-content/uploads/2024/07/2012-Merlot-HR.pdf
Merlot,2013,https://burrowingowlwine.ca/wp-content/uploads/2024/07/2013-Merlot-HR.pdf
Merlot,2014,https://burrowingowlwine.ca/wp-content/uploads/2024/07/2014-Merlot-HR.pdf
Merlot,2015,https://burrowingowlwine.ca/wp-content/uploads/2024/07/2015-Merlot-HR.pdf
Merlot,2016,https://burrowingowlwine.ca/wp-content/uploads/2024/07/2016-Merlot-HR.pdf
Merlot,2017,https://www.burrowingowlwine.ca/wp-content/uploads/2025/01/2017-Merlot-HR.pdf
Merlot,2018,https://burrowingowlwine.ca/wp-content/uploads/2020/06/2018-Merlot-LR.pdf
Merlot,2019,https://burrowingowlwine.ca/wp-content/uploads/2021/08/2019-Merlot-LR.pdf
Merlot,2020,https://burrowingowlwine.ca/wp-content/uploads/2022/07/2020-Merlot-HR.pdf
Merlot,2021,https://burrowingowlwine.ca/wp-content/uploads/2023/06/2021-Merlot-HR.pdf
Merlot,2022,https://www.burrowingowlwine.ca/wp-content/uploads/2024/12/2022-Merlot-HR.pdf
Pinot Gris,2010,https://burrowingowlwine.ca/wp-content/uploads/2014/09/SalesSheet10Pinot.pdf
Pinot Gris,2011,https://burrowingowlwine.ca/wp-content/uploads/2014/09/SalesSheet11Pinot.pdf
Pinot Gris,2012,https://burrowingowlwine.ca/wp-content/uploads/2014/09/SalesSheet12Pinot.pdf
Pinot Gris,2013,https://burrowingowlwine.ca/wp-content/uploads/2014/09/BOV1564_2013PinotGris_Sales_v2_HR.pdf
Pinot Gris,2014,https://burrowingowlwine.ca/wp-content/uploads/2015/04/BOV_1802_PinotGris2014_Sales_v2_HR.pdf
Pinot Gris,2015,https://burrowingowlwine.ca/wp-content/uploads/2016/04/BOV1974_2015_PinotGris_Sales_v2_HR.pdf
Pinot Gris,2016,https://burrowingowlwine.ca/wp-content/uploads/2017/04/BOV_2139_2016_PinotGris_Sales_HR.pdf
Pinot Gris,2017,https://burrowingowlwine.ca/wp-content/uploads/2018/05/BOEW_27_PinotGris2017_Sales_V3_HR.pdf
Pinot Gris,2018,https://www.burrowingowlwine.ca/wp-content/uploads/2025/01/2018-Pinot-Gris-HR.pdf
Pinot Gris,2019,https://www.burrowingowlwine.ca/wp-content/uploads/2025/01/2019-Pinot-Gris-HR.pdf
Pinot Gris,2020,https://burrowingowlwine.ca/wp-content/uploads/2021/03/2020-Pinot-Gris-LR.pdf
Pinot Gris,2021,https://burrowingowlwine.ca/wp-content/uploads/2022/03/2021-Pinot-Gris-HR.pdf
Pinot Gris,2022,https://burrowingowlwine.ca/wp-content/uploads/2023/06/2022-Pinot-Gris-HR.pdf
Pinot Gris,2023,https://www.burrowingowlwine.ca/wp-content/uploads/2024/12/2023-Pinot-Gris-HR-1.pdf
Pinot Noir,2008,https://burrowingowlwine.ca/wp-content/uploads/2024/07/2008-Pinot-Noir.pdf
Pinot Noir,2009,https://burrowingowlwine.ca/wp-content/uploads/2024/07/2009-Pinot-Noir.pdf
Pinot Noir,2010,https://burrowingowlwine.ca/wp-content/uploads/2024/07/2010-Pinot-Noir.pdf
Pinot Noir,2011,https://burrowingowlwine.ca/wp-content/uploads/2024/07/2011-Pinot-Noir-HR.pdf
Pinot Noir,2012,https://burrowingowlwine.ca/wp-content/uploads/2024/07/2012-Pinot-Noir-HR.pdf
Pinot Noir,2013,https://burrowingowlwine.ca/wp-content/uploads/2024/07/2013-Pinot-Noir-HR.pdf
Pinot Noir,2014,https://burrowingowlwine.ca/wp-content/uploads/2024/07/2014-Pinot-Noir-HR.pdf
Pinot Noir,2015,https://burrowingowlwine.ca/wp-content/uploads/2024/07/2015-Pinot-Noir-HR.pdf
Pinot Noir,2016,https://burrowingowlwine.ca/wp-content/uploads/2024/07/2016-Pinot-Noir-HR.pdf
Pinot Noir,2017,https://burrowingowlwine.ca/wp-content/uploads/2024/07/2017-Pinot-Noir-HR.pdf
Pinot Noir,2018,https://burrowingowlwine.ca/wp-content/uploads/2020/09/2018-Pinot-Noir-LR.pdf
Pinot Noir,2019,https://burrowingowlwine.ca/wp-content/uploads/2021/09/2019-Pinot-Noir-LR.pdf
Pinot Noir,2020,https://burrowingowlwine.ca/wp-content/uploads/2022/07/2020-Pinot-Noir-HR.pdf
Pinot Noir,2021,https://burrowingowlwine.ca/wp-content/uploads/2023/11/2021-Pinot-Noir-HR.pdf
Pinot Noir,2022,https://burrowingowlwine.ca/wp-content/uploads/2023/10/2022-Pinot-Noir-HR.pdf
Pinot Noir,2023,https://www.burrowingowlwine.ca/wp-content/uploads/2024/12/2023-Pinot-Noir-HR.pdf
Rosé,2021,https://burrowingowlwine.ca/wp-content/uploads/2022/03/2021-Rosé-HR.pdf
Rosé,2022,https://burrowingowlwine.ca/wp-content/uploads/2023/05/2022-Rose-2022-HR.pdf
Rosé,2023,https://burrowingowlwine.ca/wp-content/uploads/2024/06/2023-BOV-Rose-HR.pdf
Sauvignon Blanc,2011,https://burrowingowlwine.ca/wp-content/uploads/2024/07/2011-BOV-Sauvignon-Blanc-HR.pdf
Sauvignon Blanc,2012,https://burrowingowlwine.ca/wp-content/uploads/2024/07/2012-BOV-Sauvignon-Blanc-HR.pdf
Sauvignon Blanc,2013,https://burrowingowlwine.ca/wp-content/uploads/2024/07/2013-BOV-Sauvignon-Blanc-HR.pdf
Sauvignon Blanc,2014,https://burrowingowlwine.ca/wp-content/uploads/2024/07/2014-BOV-Sauvignon-Blanc-HR.pdf
Sauvignon Blanc,2015,https://burrowingowlwine.ca/wp-content/uploads/2024/07/2015-BOV-Sauvignon-Blanc-HR.pdf
Sauvignon Blanc,2016,https://burrowingowlwine.ca/wp-content/uploads/2024/07/2016-BOV-Sauvignon-Blanc-HR.pdf
Sauvignon Blanc,2017,https://burrowingowlwine.ca/wp-content/uploads/2024/07/2017-BOV-Sauvignon-Blanc-HR.pdf
Sauvignon Blanc,2018,https://burrowingowlwine.ca/wp-content/uploads/2024/07/2018-BOV-Sauvignon-Blanc-HR.pdf
Sauvignon Blanc,2019,https://www.burrowingowlwine.ca/wp-content/uploads/2025/01/2019-BOV-Sauvignon-Blanc-HR.pdf
Sauvignon Blanc,2020,https://www.burrowingowlwine.ca/wp-content/uploads/2025/01/2020-BOV-Sauvignon-Blanc-HR.pdf
Sauvignon Blanc,2021,https://burrowingowlwine.ca/wp-content/uploads/2022/08/2021-BOV-Sauvignon-Blanc-HR.pdf
Sauvignon Blanc,2022,https://burrowingowlwine.ca/wp-content/uploads/2023/07/2022-BOV-Sauvignon-Blanc-HR.pdf
Syrah,2006,https://burrowingowlwine.ca/wp-content/uploads/2024/07/2006-Syrah.pdf
Syrah,2007,https://burrowingowlwine.ca/wp-content/uploads/2024/07/2007-Syrah.pdf
Syrah,2008,https://burrowingowlwine.ca/wp-content/uploads/2024/07/2008-Syrah.pdf
Syrah,2009,https://burrowingowlwine.ca/wp-content/uploads/2024/07/2009-Syrah-HR.pdf
Syrah,2010,https://burrowingowlwine.ca/wp-content/uploads/2024/07/2010-Syrah-HR.pdf
Syrah,2011,https://burrowingowlwine.ca/wp-content/uploads/2024/07/2011-Syrah-HR.pdf
Syrah,2012,https://burrowingowlwine.ca/wp-content/uploads/2014/10/Syrah2012_Sales.pdf
Syrah,2013,https://burrowingowlwine.ca/wp-content/uploads/2024/07/2013-Syrah-HR.pdf
Syrah,2014,https://burrowingowlwine.ca/wp-content/uploads/2024/07/2014-Syrah-LR.pdf
Syrah,2015,https://burrowingowlwine.ca/wp-content/uploads/2024/07/2015-Syrah-LR.pdf
Syrah,2016,https://burrowingowlwine.ca/wp-content/uploads/2024/07/2016-Syrah-HR.pdf
Syrah,2017,https://burrowingowlwine.ca/wp-content/uploads/2024/07/2017-Syrah-HR.pdf
Syrah,2018,https://burrowingowlwine.ca/wp-content/uploads/2024/07/2018-Syrah-HR.pdf
Syrah,2019,https://www.burrowingowlwine.ca/wp-content/uploads/2025/01/2019-Syrah-HR.pdf
Syrah,2020,https://burrowingowlwine.ca/wp-content/uploads/2022/07/2020-Syrah-HR.pdf
Syrah,2021,https://www.burrowingowlwine.ca/wp-content/uploads/2024/12/2021-Syrah-HR.pdf
Syrah,2022,https://burrowingowlwine.ca/wp-content/uploads/2024/07/2022-Syrah-HR.pdf
Tempranillo,2013,https://burrowingowlwine.ca/wp-content/uploads/2016/11/BOV_1890_Tempra2013_Sales_final_HR.pdf
Viognier,2017,https://www.burrowingowlwine.ca/wp-content/uploads/2025/01/2017-BOV-Viognier-HR.pdf
Viognier,2018,https://burrowingowlwine.ca/wp-content/uploads/2021/01/2018-BOV-Viognier-LR.pdf
Viognier,2019,https://burrowingowlwine.ca/wp-content/uploads/2021/07/2019-BOV-Viognier-LR.pdf
Viognier,2020,https://burrowingowlwine.ca/wp-content/uploads/2022/06/2020-BOV-Viognier-HR.pdf
Viognier,2021,https://www.burrowingowlwine.ca/wp-content/uploads/2024/12/2021-BOV-Viognier-HR.pdf
Viognier,2022,https://burrowingowlwine.ca/wp-content/uploads/2024/04/2022-BOV-Viognier-HR.pdf
